,NOMBRE,EQUIPO,TA,TR,SA,FDJ,FR,FC,PR,PCOM,FPM,FPT
,VALENTÍN PEZZOLESI,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00
,VALERY FERNÁNDEZ,RCD MALLORCA,1,0,0,1,1,3,0,0,0,3.00
,VEDAT MURIQI,RCD MALLORCA,1,1,0,10,17,17,0,1,4,17.00
,VICENTE GUAITA,RC CELTA,0,0,0,0,3,0,0,0,0,0.00
,VIKTOR TSYHANKOV,GIRONA FC,1,0,0,1,7,5,0,0,0,5.00
,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,4,0,0,4,40,20,2,0,1,5.00
,VITI ROZADA,UD LAS PALMAS,3,0,0,0,13,19,0,0,2,6.33
,VITOR HUGO ROQUE FERREIRA,REAL BETIS,0,0,0,4,15,16,0,0,0,0.00
,VÍCTOR MESEGUER,REAL VALLADOLID CF,0,0,0,0,5,6,0,0,0,0.00
,VÍCTOR PUIG,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00
,WALID CHEDDIRA,RCD ESPANYOL DE BARCELONA,2,0,0,3,16,19,1,0,3,9.50
,WARREN MADRIGAL,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00
,WILLIAM SILVA DE CARVALHO,REAL BETIS,0,0,0,0,0,4,0,0,0,0.00
,WILLIOT SWEDBERG,RC CELTA,1,0,0,3,16,7,0,0,1,7.00
,SÉBASTIEN HALLER,CD LEGANÉS,0,0,0,7,5,4,0,0,0,0.00
,TADEO ALLENDE,RC CELTA,0,0,0,0,0,0,0,0,0,0.00
,TAKEFUSA KUBO,REAL SOCIEDAD,1,0,0,4,28,10,0,0,1,10.00
,TAKUMA ASANO,RCD MALLORCA,0,0,0,1,4,1,0,0,0,0.00
,TANGUY NIANZOU,SEVILLA FC,1,1,1,0,5,10,0,0,0,10.00
,TASOS DOUVIKAS,RC CELTA,2,0,0,8,24,8,0,0,1,4.00
,THIBAUT COURTOIS,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,THIERNO BARRY,VILLARREAL CF,1,0,0,13,22,19,1,0,1,19.00
,THIERRY RENDALL CORREIA,VALENCIA CF,1,0,0,0,14,15,0,0,0,15.00
,THOMAS LEMAR,ATLÉTICO DE MADRID,0,0,0,0,1,0,0,0,0,0.00
,TOMÁS CONECHNY,DEPORTIVO ALAVÉS,3,0,0,4,6,13,0,0,2,4.33
,TONI FERNÁNDEZ,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,1,0,0,1,5,0,0,0,0.00
,TONI MARTÍNEZ,DEPORTIVO ALAVÉS,0,0,0,2,5,10,0,1,1,0.00
,LAUREANO ANTONIO VILLA SUÁREZ,SD EIBAR,0,0,0,0,0,0,0,0,0,0.00
,UMAR SADIQ,REAL SOCIEDAD,1,0,0,5,1,8,0,0,0,8.00
,UNAI EGILUZ,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0.00
,UNAI GARCÍA,CA OSASUNA,0,0,0,0,0,0,0,0,0,0.00
,UNAI GÓMEZ,ATHLETIC CLUB,1,0,0,0,12,5,0,0,1,5.00
,UNAI LÓPEZ,RAYO VALLECANO,5,1,0,1,8,9,0,0,0,1.80
,SERGI DARDER,RCD MALLORCA,0,0,0,2,16,8,0,0,1,0.00
,SERGI DOMÍNGUEZ,FC BARCELONA,1,0,0,0,0,2,0,1,0,2.00
,SERGI GUARDIOLA,RAYO VALLECANO,0,0,0,0,4,2,0,0,0,0.00
,SERGI GÓMEZ,RCD ESPANYOL DE BARCELONA,0,0,0,0,1,4,0,0,0,0.00
,SERGIO CAMELLO,RAYO VALLECANO,1,0,0,2,7,7,0,0,0,7.00
,SERGIO CARREIRA,RC CELTA,0,0,0,0,1,2,0,0,0,0.00
,SERGIO GONZÁLEZ,CD LEGANÉS,1,0,0,2,6,18,0,0,1,18.00
,SERGIO GÓMEZ,REAL SOCIEDAD,1,0,0,1,7,11,0,1,3,11.00
,SERGIO HERRERA,CA OSASUNA,3,0,0,0,2,0,0,0,0,0.00
,SERGIO MESTRE,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,SEYDOUBA CISSÉ,CD LEGANÉS,2,0,0,0,13,15,1,0,0,7.50
,SHERALDO BECKER,REAL SOCIEDAD,0,0,0,8,10,6,0,0,0,0.00
,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00
,SILVI CLUA,GIRONA FC,0,0,0,0,0,5,0,0,0,0.00
,STANIS IDUMBO MUZAMBO,SEVILLA FC,0,0,0,0,2,0,0,0,0,0.00
,STANKO JURIC,REAL VALLADOLID CF,4,0,0,0,3,18,0,0,0,4.50
,STIPE BIUK,,0,0,0,0,0,0,0,0,0,0.00
,JUAN DIEGO MOLINA MARTÍNEZ,DEPORTIVO ALAVÉS,1,0,0,5,16,8,0,0,0,8.00
,STOLE DIMITRIEVSKI,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00
,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,0,0,0,1,4,0,0,0,0,0.00
,RODRIGO RIQUELME,ATLÉTICO DE MADRID,0,0,0,4,6,4,0,0,0,0.00
,RODRYGO SILVA DE GOES,REAL MADRID,0,0,0,0,14,3,0,0,1,0.00
,ROMAIN PERRAUD,REAL BETIS,4,0,0,5,15,16,0,1,0,4.00
,RUBÉN GARCÍA,CA OSASUNA,1,0,0,5,9,10,0,0,0,10.00
,RUBÉN GÓMEZ,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,RUBÉN PEÑA,CA OSASUNA,1,0,0,0,4,7,0,0,0,7.00
,RUI TIAGO DANTAS DA SILVA,REAL BETIS,1,0,0,0,2,1,0,1,0,1.00
,SALVI SÁNCHEZ,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,1,0,0,1,6,6,0,0,1,6.00
,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,4,1,1,2,33,25,0,0,2,6.25
,SANDRO RAMÍREZ,UD LAS PALMAS,2,0,0,3,10,11,0,0,1,5.50
,SANTI COMESAÑA,VILLARREAL CF,4,0,0,1,13,20,0,0,1,5.00
,SANTIAGO MOURIÑO,DEPORTIVO ALAVÉS,1,0,0,1,2,5,0,0,0,5.00
,SAÚL ÑÍGUEZ,SEVILLA FC,1,1,0,0,4,6,0,0,1,6.00
,SCOTT MCKENNA,UD LAS PALMAS,1,0,0,0,1,5,0,0,0,5.00
,SEBAS WADE,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00
,SELIM AMALLAH,REAL VALLADOLID CF,1,0,0,0,12,15,0,0,1,15.00
,SERGI ALTIMIRA,REAL BETIS,2,0,0,0,14,15,0,0,0,7.50
,SERGI CANÓS,VALENCIA CF,1,0,0,0,3,5,0,0,0,5.00
,SERGI CARDONA,VILLARREAL CF,5,0,0,1,8,16,0,0,1,3.20
,RAPHAEL DIAS BELLOLI,FC BARCELONA,1,0,0,4,20,4,2,0,1,4.00
,RAÚL ASENCIO DEL ROSARIO,REAL MADRID,0,0,0,0,5,3,0,0,0,0.00
,RAÚL ALBIOL,VILLARREAL CF,4,0,0,0,3,9,0,2,1,2.25
,RAÚL CHASCO,REAL VALLADOLID CF,0,0,0,0,0,3,0,0,0,0.00
,RAÚL GARCÍA,CA OSASUNA,0,0,0,6,3,7,0,0,1,0.00
,RAÚL JIMÉNEZ,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00
,RAÚL MARTÍNEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,RAÚL MORO,REAL VALLADOLID CF,1,0,0,7,10,2,0,0,0,2.00
,RAÚL DE TOMÁS,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00
,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,3,0,0,1,8,13,0,0,0,4.33
,RENATO TAPIA,CD LEGANÉS,4,0,0,0,11,14,0,0,0,3.50
,RICARD ARTERO,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,RICARDO RODRÍGUEZ,REAL BETIS,0,0,0,0,1,3,0,0,0,0.00
,ROBERT LEWANDOWSKI,FC BARCELONA,1,0,0,9,19,9,0,0,1,9.00
,ROBERT NAVARRO,RCD MALLORCA,1,0,0,0,13,6,0,0,0,6.00
,ROBERTO LÓPEZ,CD LEGANÉS,0,0,0,0,3,0,0,0,0,0.00
,ROBIN LE NORMAND,ATLÉTICO DE MADRID,2,0,0,1,7,14,0,0,0,7.00
,RODRIGO SÁNCHEZ RODRÍGUEZ,,0,0,0,1,2,2,0,0,0,0.00
,RODRIGO ABAJAS,VALENCIA CF,1,0,0,1,0,2,0,0,0,2.00
,RODRIGO DE PAUL,ATLÉTICO DE MADRID,3,0,0,0,15,3,0,0,1,1.00
,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,2,0,0,1,21,5,0,0,0,2.50
,PEDRO DÍAZ,RAYO VALLECANO,1,0,0,0,0,1,0,0,0,1.00
,PEDRO ORTIZ,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00
,PEIO CANALES,ATHLETIC CLUB,0,0,0,0,1,0,0,0,0,0.00
,FRANCISCO JESÚS CRESPO GARCÍA,UD LAS PALMAS,0,0,0,0,0,1,0,0,0,0.00
,PELAYO FERNÁNDEZ,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00
,PEP CHAVARRÍA,RAYO VALLECANO,1,0,0,0,8,4,0,0,0,4.00
,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,4,1,0,1,8,13,0,0,0,3.25
,GERARD FERNÁNDEZ CASTELLANO,SEVILLA FC,1,0,0,2,15,12,0,1,1,12.00
,PERE GARCÍA,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00
,PERE MILLA,RCD ESPANYOL DE BARCELONA,2,0,0,1,7,3,0,0,0,1.50
,PETER FEDERICO GONZÁLEZ CARMONA,GETAFE CF,0,0,0,1,5,5,0,0,1,0.00
,POL LOZANO,RCD ESPANYOL DE BARCELONA,4,0,0,0,4,18,0,0,0,4.50
,POL TRISTÁN,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,2,0,0,3,5,2,0,0,0,1.00
,RAFA MIR,VALENCIA CF,1,0,0,2,2,2,0,0,0,2.00
,RAFAEL BAUZA,RCD ESPANYOL DE BARCELONA,1,0,0,0,0,6,0,0,0,6.00
,RAMON TERRATS,VILLARREAL CF,1,0,0,0,2,2,0,0,0,2.00
,RAMÓN MARTÍNEZ,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00
,RANDY NTEKA,RAYO VALLECANO,1,0,0,9,6,12,0,0,0,12.00
,ORIOL ROMEU,GIRONA FC,3,0,0,0,9,15,0,0,0,5.00
,ORRI ÓSKARSSON,REAL SOCIEDAD,0,0,0,4,0,2,0,0,1,0.00
,PABLO BARRIOS,ATLÉTICO DE MADRID,1,0,0,0,8,11,0,0,0,11.00
,PABLO BUSTO,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00
,PABLO DURÁN,RC CELTA,0,0,0,1,4,3,0,0,0,0.00
,PABLO FORNALS,REAL BETIS,2,0,0,1,5,9,0,0,0,4.50
,PABLO IBÁÑEZ,CA OSASUNA,1,0,0,0,6,7,0,0,0,7.00
,PABLO MAFFEO,RCD MALLORCA,2,0,0,0,12,7,0,0,0,3.50
,PABLO MARÍN,REAL SOCIEDAD,0,0,0,0,1,5,0,0,0,0.00
,PABLO RIVERA,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00
,PABLO TORRE,FC BARCELONA,0,0,0,1,6,4,0,0,0,0.00
,PAPA DAME BA,GIRONA FC,0,0,0,0,4,1,0,0,0,0.00
,PAPE GUEYE,VILLARREAL CF,1,1,1,2,24,12,0,0,1,12.00
,PATHÉ CISS,RAYO VALLECANO,3,0,0,0,10,10,0,0,1,3.33
,PAU CABANES,VILLARREAL CF,0,0,0,0,1,2,0,0,0,0.00
,PAU CUBARSÍ,FC BARCELONA,3,0,0,0,7,13,0,1,0,4.33
,PAU LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,PAU NAVARRO,VILLARREAL CF,0,0,0,0,2,5,0,0,1,0.00
,PAU VÍCTOR,FC BARCELONA,2,0,0,0,2,5,0,0,0,2.50
,PAULO GAZZANIGA,GIRONA FC,3,0,0,0,1,1,0,0,1,0.33
,NACHO VIDAL,CA OSASUNA,0,0,0,0,1,2,0,0,0,0.00
,NACI ÜNÜVAR,RCD ESPANYOL DE BARCELONA,0,0,0,1,1,0,0,0,0,0.00
,NAHUEL MOLINA,ATLÉTICO DE MADRID,0,0,0,0,1,5,0,0,0,0.00
,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,3,0,0,2,20,14,0,0,0,4.67
,NAIM GARCÍA,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00
,NATAN BERNARDO DE SOUZA,REAL BETIS,2,1,0,0,3,8,0,0,0,4.00
,NAYEF AGUERD,REAL SOCIEDAD,3,0,0,0,12,4,0,0,0,1.33
,NEMANJA GUDELJ,SEVILLA FC,3,0,0,0,7,14,0,0,1,4.67
,NICO SERRANO,ATHLETIC CLUB,0,0,0,0,2,0,0,0,0,0.00
,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,1,0,0,7,16,9,0,0,0,9.00
,NICOLAS PÉPÉ,VILLARREAL CF,1,0,0,4,7,5,1,0,0,5.00
,NOAH DARVICH,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,NOBEL MENDY,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00
,OIER GASTESI,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0,0.00
,OIHAN SANCET,ATHLETIC CLUB,1,0,0,2,13,10,0,0,1,10.00
,OLIVER MCBURNIE,UD LAS PALMAS,0,0,0,2,9,12,0,0,0,0.00
,OMAR ALDERETE,GETAFE CF,3,0,0,3,5,11,0,0,0,3.67
,OMAR EL HILALI,RCD ESPANYOL DE BARCELONA,4,0,0,1,9,18,0,1,1,4.50
,OMAR MASCARELL,RCD MALLORCA,2,0,0,0,5,9,0,0,0,4.50
,OMAR SADIK,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,MATEO FLORES,REAL BETIS,0,0,0,0,1,1,0,0,0,0.00
,MATEO MEJÍA,SEVILLA FC,0,0,0,0,1,0,0,0,0,0.00
,MATEU MOREY,RCD MALLORCA,1,0,0,0,3,7,0,0,1,7.00
,MATIJA NASTASIC,CD LEGANÉS,2,0,0,2,3,9,0,1,0,4.50
,MATÍAS ÁRBOL,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00
,MAURO ARAMBARRI,GETAFE CF,4,0,0,2,12,16,0,0,0,4.00
,MAXIMILIANO CAUFRIEZ,VALENCIA CF,0,0,0,0,0,3,0,1,1,0.00
,MIGUEL GUTIÉRREZ,GIRONA FC,1,0,0,4,14,7,0,0,1,7.00
,MIGUEL DE LA FUENTE,CD LEGANÉS,3,0,0,6,17,13,0,0,0,4.33
,MIGUEL ÁNGEL MORRO,,0,0,0,0,0,0,0,0,0,0.00
,MIHAILO RISTIC,RC CELTA,0,0,0,0,1,2,0,0,0,0.00
,MIKA MÁRMOL,UD LAS PALMAS,2,0,0,0,2,8,0,1,0,4.00
,MIKEL JAUREGIZAR,ATHLETIC CLUB,3,1,0,0,11,24,0,0,1,8.00
,MIKEL OYARZABAL,REAL SOCIEDAD,2,1,0,6,10,6,1,0,1,3.00
,MIKEL VESGA,ATHLETIC CLUB,1,0,0,0,0,6,0,0,0,6.00
,MOI GÓMEZ,CA OSASUNA,1,0,0,0,4,7,0,0,1,7.00
,MOUSSA DIARRA,DEPORTIVO ALAVÉS,2,0,0,1,9,10,0,0,0,5.00
,MUNIR EL HADDADI,CD LEGANÉS,1,0,0,4,15,6,0,0,0,6.00
,NABIL ABERDIN,GETAFE CF,1,0,0,0,6,7,0,0,0,7.00
,NABIL FEKIR,,0,0,0,0,7,3,0,0,0,0.00
,MARC BARTRA,REAL BETIS,1,0,0,0,4,0,0,0,0,0.00
,MARC BERNAL,FC BARCELONA,2,0,0,0,3,4,0,0,0,2.00
,MARC CARDONA,UD LAS PALMAS,1,0,0,0,2,1,0,0,0,1.00
,MARC CASADÓ,FC BARCELONA,2,1,1,0,21,15,0,0,1,7.50
,MARC DOMENECH,RCD MALLORCA,0,0,0,0,0,3,0,0,0,0.00
,MARC ROCA,REAL BETIS,3,0,0,0,4,15,0,0,1,5.00
,MARC VIDAL,RC CELTA,0,0,0,0,0,0,0,0,0,0.00
,MARC-ANDRÉ TER STEGEN,FC BARCELONA,0,0,0,0,2,0,0,0,0,0.00
,MARCO DE LAS SIAS,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00
,MARCOS ALONSO,RC CELTA,3,0,0,1,9,9,0,0,0,3.00
,MARCOS ANDRÉ DE SOUSA MENDONÇA,REAL VALLADOLID CF,2,0,0,1,13,4,0,0,0,2.00
,MARCOS LLORENTE,ATLÉTICO DE MADRID,0,1,0,2,7,7,0,0,0,0.00
,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,1,1,1,0,8,7,0,1,0,7.00
,MARIO MAROTO,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00
,MARIO MARTÍN,REAL VALLADOLID CF,3,1,0,0,18,17,0,0,0,5.67
,MARKO DMITROVIC,CD LEGANÉS,0,0,0,0,3,0,0,0,0,0.00
,MARTIN VALJENT,RCD MALLORCA,2,0,0,0,3,5,0,0,0,2.50
,MARTÍN TEJÓN,VALENCIA CF,0,0,0,0,1,1,0,0,0,0.00
,MARTÍN ZUBIMENDI,REAL SOCIEDAD,2,0,0,0,12,19,1,0,0,9.50
,MARVIN PARK,UD LAS PALMAS,1,0,0,0,8,8,0,1,1,8.00
,LUCAS GARCÍA MADRIGAL,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,LUCAS OCAMPOS,,0,0,0,0,2,3,0,0,1,0.00
,LUCAS OLIVEIRA ROSA,REAL VALLADOLID CF,5,0,0,1,13,23,0,0,1,4.60
,LUCAS TORRÓ,CA OSASUNA,5,0,0,1,19,36,0,1,2,7.20
,LUCAS VÁZQUEZ,REAL MADRID,2,0,0,0,8,10,0,0,1,5.00
,LUCIEN AGOUMÉ,SEVILLA FC,2,1,0,2,2,17,0,1,0,8.50
,LUIS MILLA,GETAFE CF,1,0,0,0,23,21,0,1,3,21.00
,LUIS PÉREZ,REAL VALLADOLID CF,2,0,0,2,15,11,0,1,1,5.50
,LUIS RIOJA,VALENCIA CF,3,0,0,4,15,5,0,0,0,1.67
,LUIZ LÚCIO REIS JÚNIOR,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,LUKA MODRIC,REAL MADRID,3,0,0,0,8,10,0,0,1,3.33
,LUKA ROMERO,DEPORTIVO ALAVÉS,0,0,0,1,3,3,1,0,1,0.00
,LUKA SUCIC,REAL SOCIEDAD,1,0,0,1,10,6,0,0,0,6.00
,MAMADOU SYLLA,REAL VALLADOLID CF,1,0,0,7,12,6,1,0,1,6.00
,MANU BUENO,SEVILLA FC,0,0,0,0,0,0,0,0,0,0.00
,MANU FUSTER,UD LAS PALMAS,0,0,0,0,10,5,0,0,1,0.00
,MANU GONZÁLEZ,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00
,MANU MORLANES,RCD MALLORCA,4,0,0,0,7,10,0,0,0,2.50
,MANU SÁNCHEZ,DEPORTIVO ALAVÉS,5,0,0,1,6,18,0,1,2,3.60
,MARASH KUMBULLA,RCD ESPANYOL DE BARCELONA,5,0,0,0,19,16,0,0,0,3.20
,KIKE BARJA,CA OSASUNA,0,0,0,0,0,0,0,0,0,0.00
,KIKE GARCÍA,DEPORTIVO ALAVÉS,2,1,1,6,18,21,0,0,5,10.50
,KIKE PÉREZ,REAL VALLADOLID CF,4,0,0,1,16,25,0,0,0,6.25
,KIKE SALAS,SEVILLA FC,2,0,0,0,2,5,0,0,0,2.50
,KIKO FEMENÍA,VILLARREAL CF,4,0,0,1,5,7,0,0,0,1.75
,MIN-SU KIM,GIRONA FC,0,0,0,0,1,0,0,0,0,0.00
,KIRIAN RODRÍGUEZ,UD LAS PALMAS,2,0,0,0,13,7,0,0,2,3.50
,JORGE IGLESIAS GONZÁLEZ,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00
,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,3,0,0,0,8,14,0,0,1,4.67
,KYLIAN MBAPPÉ,REAL MADRID,1,0,0,22,15,8,0,0,1,8.00
,LADISLAV KREJCÍ,GIRONA FC,4,0,0,0,3,8,1,0,1,2.00
,LALO AGUILAR,ALBACETE BP,0,0,0,0,0,0,0,0,0,0.00
,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,1,0,0,6,28,10,2,0,0,10.00
,LEANDRO CABRERA,RCD ESPANYOL DE BARCELONA,1,0,0,0,1,3,0,0,0,3.00
,LEO ROMÁN,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00
